model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
613,0.126003858,0.8721,0.7777,0.9405
614,0.124342099,0.8756,0.7817,0.9417
615,0.123827994,0.8762,0.7823,0.9419
616,0.124256466,0.8758,0.7823,0.9413
617,0.127913362,0.8676,0.7713,0.9403
618,0.124918004,0.8708,0.7752,0.9412
619,0.129593776,0.8721,0.7765,0.9401
620,0.122667473,0.8766,0.7843,0.9421
621,0.12454506,0.873,0.7782,0.941
622,0.12473558,0.8713,0.7753,0.941
623,0.128085114,0.8684,0.771,0.9401
624,0.124685642,0.8716,0.7762,0.9414
625,0.123615643,0.8767,0.7838,0.9416
626,0.126355787,0.8714,0.7751,0.94
627,0.121223446,0.8775,0.7856,0.9425
628,0.124862566,0.8717,0.7776,0.9413
629,0.12504113,0.8695,0.7738,0.9409
630,0.123036745,0.8753,0.7822,0.9424
631,0.127883919,0.867,0.7698,0.9399
632,0.125242247,0.8735,0.7786,0.9416
633,0.130823534,0.8651,0.7672,0.9397
634,0.125577658,0.8666,0.7697,0.9409
635,0.1287125,0.8696,0.7742,0.9399
636,0.12575648,0.8697,0.7736,0.9405
637,0.124997499,0.8747,0.7814,0.9408
638,0.124756898,0.8725,0.7777,0.9413
639,0.125433915,0.8629,0.7651,0.9405
640,0.125422854,0.8736,0.779,0.9415
641,0.128036323,0.8712,0.7773,0.9402
642,0.126903975,0.8681,0.7704,0.9407
643,0.124887919,0.8735,0.7797,0.9416
644,0.128049162,0.871,0.7751,0.9404
645,0.126547853,0.8738,0.7797,0.9408
646,0.124469663,0.8689,0.7718,0.9416
647,0.125760096,0.8713,0.7754,0.941
648,0.12278411,0.8696,0.7745,0.9419
649,0.124255328,0.8702,0.7744,0.9411
650,0.121182862,0.8763,0.783,0.9428
