model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
450,0.637403485,0.8258,0.7097,0.914
451,0.63788852,0.8198,0.7013,0.914
452,0.640231595,0.7813,0.6493,0.891
453,0.637992137,0.8242,0.7064,0.9137
454,0.639172416,0.7839,0.6544,0.8953
455,0.637825472,0.8267,0.7111,0.919
456,0.638670562,0.8023,0.6763,0.9005
457,0.638953685,0.8083,0.6846,0.9037
458,0.640828535,0.7454,0.604,0.8662
459,0.638661176,0.7812,0.649,0.8867
460,0.637331813,0.8328,0.7185,0.9185
461,0.638392177,0.7729,0.6429,0.8881
462,0.637762764,0.7723,0.6359,0.8828
463,0.637968885,0.7639,0.6296,0.8792
464,0.637715874,0.8096,0.6872,0.9063
465,0.638898694,0.7679,0.6326,0.8826
466,0.637352261,0.8143,0.6921,0.9106
467,0.638000026,0.8071,0.6829,0.9041
468,0.63825321,0.7928,0.6636,0.8957
469,0.637613621,0.8438,0.7362,0.9272
470,0.638268071,0.7862,0.6563,0.8919
471,0.637808088,0.8173,0.6978,0.91
472,0.638729976,0.7971,0.6692,0.8991
473,0.639117984,0.7805,0.6499,0.8947
474,0.638818944,0.8123,0.6898,0.9099
475,0.639444736,0.808,0.6838,0.9049
476,0.638449275,0.8233,0.7061,0.9162
477,0.640095215,0.7784,0.6467,0.8942
478,0.638264393,0.8052,0.6815,0.9061
479,0.637173489,0.8165,0.6978,0.9122
480,0.637548229,0.8138,0.6932,0.9108
481,0.638290954,0.8128,0.6911,0.9092
482,0.637937416,0.8285,0.7135,0.9208
483,0.640609907,0.7299,0.5846,0.8575
484,0.638203417,0.809,0.6858,0.9069
485,0.637596715,0.8132,0.6917,0.9094
486,0.639749521,0.7331,0.5892,0.8585
487,0.638305413,0.7845,0.6543,0.8935
488,0.638058341,0.8402,0.7299,0.9247
489,0.638144941,0.7849,0.656,0.896
490,0.638241799,0.7888,0.6589,0.8957
491,0.638770728,0.779,0.6473,0.8899
492,0.638248255,0.8075,0.6873,0.9082
493,0.637021954,0.8381,0.7267,0.9237
494,0.637489309,0.8293,0.7146,0.9194
495,0.637526972,0.8093,0.6857,0.908
496,0.637614942,0.8194,0.6993,0.9111
497,0.639322438,0.7804,0.6494,0.8913
498,0.637413968,0.8345,0.7213,0.9213
499,0.637746471,0.8102,0.688,0.9068
500,0.638172461,0.8014,0.6764,0.905
501,0.637848711,0.8213,0.7029,0.9144
502,0.639769719,0.753,0.6149,0.8749
503,0.637504794,0.8221,0.7052,0.9156
504,0.638861092,0.7907,0.6636,0.8985
505,0.636997885,0.8517,0.7461,0.9292
506,0.637731158,0.8355,0.7243,0.9231
507,0.637801981,0.8061,0.686,0.9077
508,0.637189242,0.8398,0.7291,0.9232
509,0.63730345,0.8366,0.7239,0.9207
510,0.637649302,0.8315,0.7164,0.9165
511,0.637499578,0.8443,0.7351,0.9258
512,0.637762748,0.8367,0.7258,0.9217
513,0.63754385,0.834,0.7203,0.9215
514,0.637295644,0.8378,0.7262,0.9228
515,0.637499736,0.8293,0.7147,0.9174
516,0.637451856,0.8285,0.7157,0.919
517,0.637171768,0.8299,0.7166,0.92
518,0.637388662,0.8165,0.6965,0.9098
519,0.637270565,0.8034,0.6772,0.9005
520,0.638540755,0.7663,0.6306,0.8813
521,0.637623873,0.8132,0.6911,0.9066
522,0.638003583,0.7742,0.6413,0.8837
